time,turbidity,pH
2020-11-08 04:02:48.087216+00:00,18.61150649,7.35
2020-11-08 04:33:04.138380+00:00,18.97599715,7.35
2020-11-08 05:03:20.184387+00:00,17.85615918,7.34
2020-11-08 05:33:36.258061+00:00,17.97599715,7.36
2020-11-08 06:03:52.300804+00:00,17.85615918,7.36
2020-11-08 06:34:08.348110+00:00,17.97599715,7.35
2020-11-08 07:04:24.399935+00:00,17.97599715,7.35
2020-11-08 07:34:40.467982+00:00,17.73466229,7.4
2020-11-08 08:04:56.499553+00:00,17.85615918,7.35
2020-11-08 09:05:28.607187+00:00,17.73466229,7.35
2020-11-08 09:35:44.659095+00:00,17.85615918,7.35
2020-11-08 10:29:56.317429+00:00,17.85615918,7.34
2020-11-08 11:30:28.416076+00:00,17.85615918,7.37
2020-11-08 12:00:44.478070+00:00,17.61150649,7.39
2020-11-08 12:31:00.516308+00:00,17.73466229,7.35
2020-11-08 13:31:32.615564+00:00,17.61150649,7.36
2020-11-08 14:01:48.681995+00:00,20.85615918,7.35
2020-11-08 15:32:36.833902+00:00,21.61150649,7.36
2020-11-08 16:33:08.961948+00:00,20.61150649,7.35
2020-11-08 17:03:24.999282+00:00,21.73466229,7.36
2020-11-08 17:33:41.081034+00:00,17.61150649,7.35
2020-11-08 18:03:57.135262+00:00,20.61150649,7.35
2020-11-08 19:04:29.233090+00:00,20.73466229,7.35
2020-11-08 19:34:45.301134+00:00,20.85615918,7.36
2020-11-08 20:05:01.357743+00:00,20.73466229,7.34
2020-11-08 20:35:17.415852+00:00,20.85615918,7.36
2020-11-08 21:05:33.474574+00:00,21.61150649,7.35
2020-11-08 21:35:49.537187+00:00,20.73466229,7.34
2020-11-08 22:06:05.573104+00:00,20.73466229,7.36
2020-11-08 22:36:21.633176+00:00,20.97599715,7.35
2020-11-08 23:36:53.744001+00:00,20.97599715,7.35
2020-11-09 00:07:09.791861+00:00,19.61150649,7.35
2020-11-09 01:07:41.918957+00:00,17.85615918,7.38
2020-11-09 02:06:56.408357+00:00,17.73466229,7.35
2020-11-09 02:37:12.463281+00:00,17.85615918,7.34
2020-11-09 03:37:44.563304+00:00,17.97599715,7.36
2020-11-09 04:08:00.618078+00:00,17.61150649,7.35
2020-11-09 04:38:16.681594+00:00,17.85615918,7.35
2020-11-09 05:08:32.718854+00:00,17.73466229,7.35
2020-11-09 06:09:04.843995+00:00,17.97599715,7.35
2020-11-09 06:39:20.886164+00:00,17.97599715,7.38
2020-11-09 07:09:36.936560+00:00,17.73466229,7.35
2020-11-09 07:39:52.982187+00:00,18.09417621,7.35
2020-11-09 08:10:09.031161+00:00,19.61150649,7.41
2020-11-09 08:40:25.091272+00:00,20.85615918,7.33
2020-11-09 10:11:13.243843+00:00,21.97599715,7.38
2020-11-09 10:41:29.286730+00:00,21.73466229,7.36
2020-11-09 11:11:45.340818+00:00,20.85615918,7.35
2020-11-09 11:42:01.391895+00:00,20.85615918,7.34
2020-11-09 12:12:17.438645+00:00,19.85615918,7.36
2020-11-09 12:42:33.496520+00:00,19.61150649,7.35
2020-11-09 13:22:34.416620+00:00,20.73466229,7.35
2020-11-09 13:52:50.468621+00:00,19.97599715,7.35
2020-11-09 14:53:22.580365+00:00,18.85615918,7.35
2020-11-09 15:23:38.614186+00:00,17.73466229,7.36
2020-11-09 15:53:54.667094+00:00,27.85615918,7.35
2020-11-09 16:24:10.706286+00:00,28.61150649,7.35
2020-11-09 17:24:42.827097+00:00,27.73466229,7.38
2020-11-09 17:54:58.885492+00:00,29.73466229,7.35
2020-11-09 18:25:14.946552+00:00,28.73466229,7.35
2020-11-09 18:55:30.985677+00:00,28.09417621,7.35
2020-11-09 19:25:47.072042+00:00,27.61150649,7.35
2020-11-09 19:56:03.105494+00:00,27.97599715,7.35
2020-11-09 20:56:35.208880+00:00,27.97599715,7.35
2020-11-09 21:26:51.265167+00:00,27.73466229,7.35
2020-11-09 21:57:07.309477+00:00,27.73466229,7.35
2020-11-09 22:27:23.365555+00:00,29.73466229,7.35
2020-11-09 22:57:39.424583+00:00,28.61150649,7.37
2020-11-09 23:27:55.477009+00:00,29.97599715,7.35
2020-11-09 23:58:11.526836+00:00,27.73466229,7.35
2020-11-10 00:28:27.583534+00:00,28.97599715,7.35
2020-11-10 00:58:43.643631+00:00,29.73466229,7.35
2020-11-10 01:28:59.711815+00:00,27.97599715,7.35
2020-11-10 01:59:15.733551+00:00,29.73466229,7.35
2020-11-10 02:29:31.804447+00:00,26.85615918,7.35
